id,type,source,license,size_mb,files,resolution_hint,integration_target,lqv_use_score,notes
coast_land_rocks_02,model,polyhaven.com,CC0 1.0,144.6,coast_land_rocks_02_4k.blend,4k,unclassified,1,
coast_land_rocks_03,model,polyhaven.com,CC0 1.0 Universal,130.9,coast_land_rocks_03_4k.blend,4k,unclassified,1,
coast_land_rocks_04,model,polyhaven.com,CC0 1.0 Universal,127.8,coast_land_rocks_04_4k.blend,4k,unclassified,1,
coast_line_01,model,polyhaven.com,CC0 1.0 Universal,81.5,coast_line_01_4k.blend,4k,unclassified,1,
coast_line_02,model,polyhaven.com,CC0 1.0 Universal,98.7,coast_line_02_4k.blend,4k,unclassified,1,
coast_rocks_01,model,polyhaven.com,CC0 1.0 Universal,93.7,coast_rocks_01_4k.blend,4k,unclassified,1,
coast_rocks_02,model,polyhaven.com,CC0 1.0 Universal,134.5,coast_rocks_02_4k.blend,4k,unclassified,1,
coast_rocks_03,model,polyhaven.com,CC0 1.0 Universal,100.3,coast_rocks_03_4k.blend,4k,unclassified,1,
coast_rocks_05,model,polyhaven.com,CC0 1.0 Universal,104.7,coast_rocks_05_4k.blend,4k,unclassified,1,
coastal_cliff_01,model,polyhaven.com,CC0 1.0 Universal,64.8,coastal_cliff_01_4k.blend,4k,unclassified,1,
compost_bag_02,model,polyhaven.com,CC0 1.0 Universal,40.2,compost_bag_02_4k.blend,4k,unclassified,1,
compost_bags,model,polyhaven.com,CC0 1.0 Universal,39.3,compost_bags_4k.blend,4k,unclassified,1,
cross_pein_hammer,model,polyhaven.com,CC0 1.0 Universal,14.7,cross_pein_hammer_4k.blend,4k,props/tools,2,hand tools dressing
crowbar_01,model,polyhaven.com,CC0 1.0 Universal,37.0,crowbar_01_4k.blend,4k,unclassified,1,
crystalline_iceplant,model,polyhaven.com,CC0 1.0,37.4,crystalline_iceplant_4k.blend,4k,unclassified,1,
dandelion_01,model,polyhaven.com,CC0 1.0,21.7,dandelion_01_4k.blend,4k,unclassified,1,
dead_quiver_branch_01,model,polyhaven.com,CC0 1.0 Universal,42.6,dead_quiver_branch_01_4k.blend,4k,flora/tree,3,succulent feature
dead_quiver_branch_02,model,polyhaven.com,CC0 1.0 Universal,23.7,dead_quiver_branch_02_4k.blend,4k,flora/tree,3,succulent feature
dead_quiver_trunk,model,polyhaven.com,CC0 1.0 Universal,32.8,dead_quiver_trunk_4k.blend,4k,flora/tree,3,succulent feature
dead_tree_trunk,model,polyhaven.com,CC0 1.0 Universal,49.1,dead_tree_trunk_4k.blend,4k,unclassified,1,
dead_tree_trunk_02,model,polyhaven.com,CC0 1.0,61.3,dead_tree_trunk_02_4k.blend,4k,unclassified,1,
didelta_spinosa,model,polyhaven.com,CC0 1.0 Universal,36.8,didelta_spinosa_4k.blend,4k,unclassified,1,
dry_branches_medium_01,model,polyhaven.com,CC0 1.0,56.2,dry_branches_medium_01_4k.blend,4k,unclassified,1,
dustpan,model,polyhaven.com,CC0 1.0 Universal,52.5,dustpan_4k.blend,4k,unclassified,1,
electric_stove,model,polyhaven.com,CC0 1.0 Universal,38.3,electric_stove_4k.blend,4k,unclassified,1,
fern_02,model,polyhaven.com,CC0 1.0,16.3,fern_02_4k.blend,4k,flora/photoreal,5,fern photoreal — green-roof + creek banks
fir_sapling,model,polyhaven.com,CC0 1.0 Universal,240.7,fir_sapling_4k.blend,4k,unclassified,1,
fir_sapling_medium,model,polyhaven.com,CC0 1.0 Universal,307.9,fir_sapling_medium_4k.blend,4k,unclassified,1,
fir_tree_01,model,polyhaven.com,CC0 1.0,912.3,fir_tree_01_4k.blend,4k,unclassified,1,
fire_hydrant,model,polyhaven.com,CC0 1.0 Universal,299.0,fire_hydrant_4k.blend,4k,unclassified,1,
flathead_screwdriver,model,polyhaven.com,CC0 1.0 Universal,40.2,flathead_screwdriver_4k.blend,4k,unclassified,1,
flower_empodium,model,polyhaven.com,CC0 1.0 Universal,8.9,flower_empodium_4k.blend,4k,unclassified,1,
flower_gazania,model,polyhaven.com,CC0 1.0,42.5,flower_gazania_4k.blend,4k,unclassified,1,
flower_heliophila,model,polyhaven.com,CC0 1.0 Universal,25.5,flower_heliophila_4k.blend,4k,unclassified,1,
flower_stinkkruid,model,polyhaven.com,CC0 1.0 Universal,25.1,flower_stinkkruid_4k.blend,4k,unclassified,1,
flower_ursinia,model,polyhaven.com,CC0 1.0 Universal,30.6,flower_ursinia_4k.blend,4k,unclassified,1,
folding_wooden_stool,model,polyhaven.com,CC0 1.0,41.3,folding_wooden_stool_4k.blend,4k,props/tools,2,hand tools dressing
garden_sprinkler_01,model,polyhaven.com,CC0 1.0,49.3,garden_sprinkler_01_4k.blend,4k,props/garden,2,garden props
gate_latch_01,model,polyhaven.com,CC0 1.0 Universal,38.9,gate_latch_01_4k.blend,4k,unclassified,1,
grass_bermuda_01,model,polyhaven.com,CC0 1.0 Universal,25.2,grass_bermuda_01_4k.blend,4k,unclassified,1,
grass_medium_01,model,polyhaven.com,CC0 1.0,58.7,grass_medium_01_4k.blend,4k,unclassified,1,
grass_medium_02,model,polyhaven.com,CC0 1.0,50.9,grass_medium_02_4k.blend,4k,unclassified,1,
hand_plane_no4,model,polyhaven.com,CC0 1.0 Universal,63.9,hand_plane_no4_4k.blend,4k,unclassified,1,
hand_truck,model,polyhaven.com,CC0 1.0 Universal,63.3,hand_truck_4k.blend,4k,unclassified,1,
handsaw_wood,model,polyhaven.com,CC0 1.0,43.8,handsaw_wood_4k.blend,4k,props/tools,2,hand tools dressing
hatchet,model,polyhaven.com,CC0 1.0,49.0,hatchet_4k.blend,4k,props/tools,2,hand tools dressing
island_tree_01,model,polyhaven.com,CC0 1.0,322.8,island_tree_01_4k.blend,4k,unclassified,1,
island_tree_02,model,polyhaven.com,CC0 1.0,300.2,island_tree_02_4k.blend,4k,unclassified,1,
island_tree_03,model,polyhaven.com,CC0 1.0 Universal,331.6,island_tree_03_4k.blend,4k,unclassified,1,
jacaranda_tree,model,polyhaven.com,CC0 1.0,557.4,jacaranda_tree_4k.blend,4k,flora/tree,5,native flowering tree
jug_01,model,polyhaven.com,CC0 1.0 Universal,27.0,jug_01_4k.blend,4k,unclassified,1,
ladder_sectioned_01,model,polyhaven.com,CC0 1.0 Universal,32.0,ladder_sectioned_01_4k.blend,4k,unclassified,1,
lantern_chandelier_01,model,polyhaven.com,CC0 1.0 Universal,54.9,lantern_chandelier_01_4k.blend,4k,props/lighting,3,amenity lighting
large_castle_door,model,polyhaven.com,CC0 1.0,62.4,large_castle_door_4k.blend,4k,house/feature,3,vernacular openings
large_iron_gate,model,polyhaven.com,CC0 1.0,39.7,large_iron_gate_4k.blend,4k,unclassified,1,
leipoldtia_schultzei,model,polyhaven.com,CC0 1.0 Universal,23.7,leipoldtia_schultzei_4k.blend,4k,unclassified,1,
machete,model,polyhaven.com,CC0 1.0 Universal,56.5,machete_4k.blend,4k,unclassified,1,
measuring_tape_01,model,polyhaven.com,CC0 1.0 Universal,19.1,measuring_tape_01_4k.blend,4k,unclassified,1,
metal_jerrycan,model,polyhaven.com,CC0 1.0 Universal,58.9,metal_jerrycan_4k.blend,4k,unclassified,1,
metal_jerrycan_green,model,polyhaven.com,CC0 1.0 Universal,58.5,metal_jerrycan_green_4k.blend,4k,unclassified,1,
metal_jug,model,polyhaven.com,CC0 1.0 Universal,27.1,metal_jug_4k.blend,4k,unclassified,1,
metal_tool_chest,model,polyhaven.com,CC0 1.0 Universal,46.6,metal_tool_chest_4k.blend,4k,props/tools,2,hand tools dressing
metal_toolbox,model,polyhaven.com,CC0 1.0 Universal,50.9,metal_toolbox_4k.blend,4k,props/tools,2,hand tools dressing
modular_chainlink_fence,model,polyhaven.com,CC0 1.0,155.8,modular_chainlink_fence_4k.blend,4k,unclassified,1,
modular_electricity_poles,model,polyhaven.com,CC0 1.0,179.9,modular_electricity_poles_4k.blend,4k,unclassified,1,
modular_street_seating,model,polyhaven.com,CC0 1.0,168.7,modular_street_seating_4k.blend,4k,props/furniture,3,typology dressing
modular_wooden_pier,model,polyhaven.com,CC0 1.0,311.3,modular_wooden_pier_4k.blend,4k,unclassified,1,
moss_01,model,polyhaven.com,CC0 1.0,20.3,moss_01_4k.blend,4k,unclassified,1,
namaqualand_boulder_02,model,polyhaven.com,CC0 1.0,58.9,namaqualand_boulder_02_4k.blend,4k,terrain/feature,5,boulder scatter — Labrisa Lounge seating
namaqualand_boulder_03,model,polyhaven.com,CC0 1.0,42.9,namaqualand_boulder_03_4k.blend,4k,terrain/feature,5,boulder scatter — Labrisa Lounge seating
namaqualand_boulder_04,model,polyhaven.com,CC0 1.0,41.5,namaqualand_boulder_04_4k.blend,4k,terrain/feature,5,boulder scatter — Labrisa Lounge seating
namaqualand_cliff_01,model,polyhaven.com,CC0 1.0,52.1,namaqualand_cliff_01_4k.blend,4k,unclassified,1,
namaqualand_rocks_01,model,polyhaven.com,CC0 1.0 Universal,61.3,namaqualand_rocks_01_4k.blend,4k,unclassified,1,
namaqualand_stones_01,model,polyhaven.com,CC0 1.0 Universal,52.6,namaqualand_stones_01_4k.blend,4k,unclassified,1,
nettle_plant,model,polyhaven.com,CC0 1.0 Universal,59.4,nettle_plant_4k.blend,4k,unclassified,1,
old_military_crate,model,polyhaven.com,CC0 1.0 Universal,48.4,old_military_crate_4k.blend,4k,house/structure,3,container typologies
old_tyre,model,polyhaven.com,CC0 1.0 Universal,48.4,old_tyre_4k.blend,4k,unclassified,1,
othonna_cerarioides,model,polyhaven.com,CC0 1.0 Universal,63.1,othonna_cerarioides_4k.blend,4k,unclassified,1,
outdoor_table_chair_set_01,model,polyhaven.com,CC0 1.0,164.9,outdoor_table_chair_set_01_4k.blend,4k,props/furniture,3,typology dressing
pachira_aquatica_01,model,polyhaven.com,CC0 1.0,148.3,pachira_aquatica_01_4k.blend,4k,flora/tree,4,subtropical tree
painted_wooden_bench,model,polyhaven.com,CC0 1.0,39.1,painted_wooden_bench_4k.blend,4k,props/furniture,3,typology dressing
painted_wooden_chair_01,model,polyhaven.com,CC0 1.0,16.7,painted_wooden_chair_01_4k.blend,4k,props/furniture,3,typology dressing
painted_wooden_stool,model,polyhaven.com,CC0 1.0,28.1,painted_wooden_stool_4k.blend,4k,props/tools,2,hand tools dressing
painted_wooden_table,model,polyhaven.com,CC0 1.0,40.7,painted_wooden_table_4k.blend,4k,props/furniture,3,typology dressing
periwinkle_plant,model,polyhaven.com,CC0 1.0,75.9,periwinkle_plant_4k.blend,4k,unclassified,1,
pine_roots,model,polyhaven.com,CC0 1.0,338.2,pine_roots_4k.blend,4k,unclassified,1,
pine_sapling_medium,model,polyhaven.com,CC0 1.0 Universal,480.3,pine_sapling_medium_4k.blend,4k,unclassified,1,
pine_sapling_small,model,polyhaven.com,CC0 1.0 Universal,276.6,pine_sapling_small_4k.blend,4k,unclassified,1,
pine_tree_01,model,polyhaven.com,CC0 1.0,1248.8,pine_tree_01_4k.blend,4k,unclassified,1,
planter_box_01,model,polyhaven.com,CC0 1.0,43.3,planter_box_01_4k.blend,4k,unclassified,1,
planter_box_02,model,polyhaven.com,CC0 1.0 Universal,42.2,planter_box_02_4k.blend,4k,unclassified,1,
planter_box_03,model,polyhaven.com,CC0 1.0 Universal,42.6,planter_box_03_4k.blend,4k,unclassified,1,
planter_pot_clay,model,polyhaven.com,CC0 1.0,25.6,planter_pot_clay_4k.blend,4k,unclassified,1,
pot_enamel_01,model,polyhaven.com,CC0 1.0 Universal,38.2,pot_enamel_01_4k.blend,4k,unclassified,1,
potted_plant_01,model,polyhaven.com,CC0 1.0 Universal,252.1,potted_plant_01_4k.blend,4k,unclassified,1,
potted_plant_02,model,polyhaven.com,CC0 1.0 Universal,272.6,potted_plant_02_4k.blend,4k,unclassified,1,
potted_plant_04,model,polyhaven.com,CC0 1.0 Universal,26.4,potted_plant_04_4k.blend,4k,unclassified,1,
propane_tank,model,polyhaven.com,CC0 1.0 Universal,48.5,propane_tank_4k.blend,4k,props/water,3,rural water infrastructure
quiver_tree_01,model,polyhaven.com,CC0 1.0 Universal,298.4,quiver_tree_01_4k.blend,4k,flora/tree,3,succulent feature
quiver_tree_02,model,polyhaven.com,CC0 1.0 Universal,49.2,quiver_tree_02_4k.blend,4k,flora/tree,3,succulent feature
rock_07,model,polyhaven.com,CC0 1.0,32.6,rock_07_4k.blend,4k,unclassified,1,
rock_09,model,polyhaven.com,CC0 1.0,26.8,rock_09_4k.blend,4k,unclassified,1,
rock_face_01,model,polyhaven.com,CC0 1.0,45.7,rock_face_01_4k.blend,4k,unclassified,1,
rock_moss_set_01,model,polyhaven.com,CC0 1.0,32.8,rock_moss_set_01_4k.blend,4k,terrain/feature,5,boulder scatter — Labrisa Lounge seating
rock_moss_set_02,model,polyhaven.com,CC0 1.0,35.4,rock_moss_set_02_4k.blend,4k,terrain/feature,5,boulder scatter — Labrisa Lounge seating
root_cluster_01,model,polyhaven.com,CC0 1.0,67.2,root_cluster_01_4k.blend,4k,unclassified,1,
root_cluster_02,model,polyhaven.com,CC0 1.0 Universal,53.0,root_cluster_02_4k.blend,4k,unclassified,1,
rusted_spade_01,model,polyhaven.com,CC0 1.0,50.3,rusted_spade_01_4k.blend,4k,unclassified,1,
rusted_wheel_rim_01,model,polyhaven.com,CC0 1.0 Universal,41.7,rusted_wheel_rim_01_4k.blend,4k,unclassified,1,
rusted_wheel_rim_02,model,polyhaven.com,CC0 1.0 Universal,42.6,rusted_wheel_rim_02_4k.blend,4k,unclassified,1,
searsia_burchellii,model,polyhaven.com,CC0 1.0 Universal,65.2,searsia_burchellii_4k.blend,4k,unclassified,1,
searsia_lucida,model,polyhaven.com,CC0 1.0 Universal,54.1,searsia_lucida_4k.blend,4k,unclassified,1,
seeding_tray_01,model,polyhaven.com,CC0 1.0,34.9,seeding_tray_01_4k.blend,4k,unclassified,1,
shrub_01,model,polyhaven.com,CC0 1.0,41.4,shrub_01_4k.blend,4k,unclassified,1,
shrub_02,model,polyhaven.com,CC0 1.0,19.3,shrub_02_4k.blend,4k,unclassified,1,
shrub_03,model,polyhaven.com,CC0 1.0,14.9,shrub_03_4k.blend,4k,unclassified,1,
shrub_04,model,polyhaven.com,CC0 1.0,16.4,shrub_04_4k.blend,4k,unclassified,1,
shrub_sorrel_01,model,polyhaven.com,CC0 1.0,19.7,shrub_sorrel_01_4k.blend,4k,unclassified,1,
single_root,model,polyhaven.com,CC0 1.0,38.6,single_root_4k.blend,4k,unclassified,1,
sledgehammer_01,model,polyhaven.com,CC0 1.0,35.6,sledgehammer_01_4k.blend,4k,props/tools,2,hand tools dressing
small_lpg_tank,model,polyhaven.com,CC0 1.0 Universal,56.1,small_lpg_tank_4k.blend,4k,props/water,3,rural water infrastructure
spinning_wheel_01,model,polyhaven.com,CC0 1.0 Universal,39.1,spinning_wheel_01_4k.blend,4k,unclassified,1,
stone_fire_pit,model,polyhaven.com,CC0 1.0,54.3,stone_fire_pit_4k.blend,4k,unclassified,1,
street_lamp_01,model,polyhaven.com,CC0 1.0 Universal,30.0,street_lamp_01_4k.blend,4k,props/lighting,3,amenity lighting
street_lamp_02,model,polyhaven.com,CC0 1.0 Universal,25.4,street_lamp_02_4k.blend,4k,props/lighting,3,amenity lighting
tea_set_01,model,polyhaven.com,CC0 1.0 Universal,21.1,tea_set_01_4k.blend,4k,unclassified,1,
tire_pump,model,polyhaven.com,CC0 1.0 Universal,41.8,tire_pump_4k.blend,4k,unclassified,1,
tree_small_02,model,polyhaven.com,CC0 1.0,250.8,tree_small_02_4k.blend,4k,unclassified,1,
tree_stump_01,model,polyhaven.com,CC0 1.0,51.5,tree_stump_01_4k.blend,4k,flora/decoration,3,fallen wood detail
tree_stump_02,model,polyhaven.com,CC0 1.0,63.8,tree_stump_02_4k.blend,4k,flora/decoration,3,fallen wood detail
trowel_01,model,polyhaven.com,CC0 1.0,46.7,trowel_01_4k.blend,4k,props/tools,2,hand tools dressing
utility_box_01,model,polyhaven.com,CC0 1.0,49.3,utility_box_01_4k.blend,4k,unclassified,1,
vintage_oil_lamp,model,polyhaven.com,CC0 1.0 Universal,28.5,vintage_oil_lamp_4k.blend,4k,props/lighting,3,amenity lighting
water_manhole_cover,model,polyhaven.com,CC0 1.0,54.8,water_manhole_cover_4k.blend,4k,unclassified,1,
watering_can_metal_01,model,polyhaven.com,CC0 1.0,55.4,watering_can_metal_01_4k.blend,4k,props/garden,2,garden props
wicker_basket_01,model,polyhaven.com,CC0 1.0,40.9,wicker_basket_01_4k.blend,4k,unclassified,1,
wine_barrel_01,model,polyhaven.com,CC0 1.0 Universal,24.2,wine_barrel_01_4k.blend,4k,house/structure,3,container typologies
wooden_axe_03,model,polyhaven.com,CC0 1.0,50.4,wooden_axe_03_4k.blend,4k,unclassified,1,
wooden_barrels_01,model,polyhaven.com,CC0 1.0,374.7,wooden_barrels_01_4k.blend,4k,house/structure,3,container typologies
wooden_bucket_01,model,polyhaven.com,CC0 1.0,48.4,wooden_bucket_01_4k.blend,4k,unclassified,1,
wooden_bucket_02,model,polyhaven.com,CC0 1.0 Universal,48.1,wooden_bucket_02_4k.blend,4k,unclassified,1,
wooden_crate_01,model,polyhaven.com,CC0 1.0,43.6,wooden_crate_01_4k.blend,4k,house/structure,3,container typologies
wooden_crate_02,model,polyhaven.com,CC0 1.0 Universal,47.6,wooden_crate_02_4k.blend,4k,house/structure,3,container typologies
wooden_cutting_board,model,polyhaven.com,CC0 1.0 Universal,50.0,wooden_cutting_board_4k.blend,4k,unclassified,1,
wooden_hammer_01,model,polyhaven.com,CC0 1.0,39.8,wooden_hammer_01_4k.blend,4k,props/tools,2,hand tools dressing
wooden_ladder,model,polyhaven.com,CC0 1.0,36.6,wooden_ladder_4k.blend,4k,unclassified,1,
wooden_lantern_01,model,polyhaven.com,CC0 1.0 Universal,238.7,wooden_lantern_01_4k.blend,4k,props/lighting,3,amenity lighting
wooden_picnic_table,model,polyhaven.com,CC0 1.0,287.2,wooden_picnic_table_4k.blend,4k,props/furniture,3,typology dressing
wooden_spoon,model,polyhaven.com,CC0 1.0 Universal,43.5,wooden_spoon_4k.blend,4k,unclassified,1,
wooden_stool_01,model,polyhaven.com,CC0 1.0,38.3,wooden_stool_01_4k.blend,4k,props/tools,2,hand tools dressing
escobar_albedo,terrain,various,?,0.3,escobar_albedo.png,n/a,terrain/data,3,manual review
escobar_height,terrain,various,?,0.0,escobar_height.json,n/a,terrain/data,3,manual review
escobar_height,terrain,various,?,0.2,escobar_height.png,n/a,terrain/data,3,manual review
