binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn
Acanthostachys strobilacea,,Acanthostachys strobilacea,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Achyrocline alata,,Achyrocline alata,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Acrocomia hassleri,,Acrocomia hassleri,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Alsophila cuspidata,Cyatheaceae,Alsophila cuspidata (Kunze) D.S.Conant,tree,probable occurrence in the AF,163,,,,,,,en_peligro,,,,,,,,,
Amburana cearensis,Fabaceae,Amburana cearensis (Allemao) A.C.Sm.,tree,confirmed,207,NA,16.67,widespread,Not endemic,22,129,en_peligro,,,timber,yes,,,,,
Annona amambayensis,,Annona amambayensis,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Apuleia leiocarpa,Fabaceae,Apuleia leiocarpa (Vogel) J.F.Macbr.,tree,confirmed,580,NA,52.68,widespread,Not endemic,240,210,amenazada,,,timber,yes,,,,,
Arachis batizocoi,,Arachis batizocoi,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Arachis cardenasii,,Arachis cardenasii,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Arachis duranensis,,Arachis duranensis,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Araucaria angustifolia,Araucariaceae,Araucaria angustifolia (Bertol.) Kuntze,tree,confirmed,519,cultivated,100.0,pure_endemic,Endemic,386,34,en_peligro,Endangered,,food | medicinal | ornamental | timber,yes,,,,,
Aspidosperma polyneuron,Apocynaceae,Aspidosperma polyneuron Mull.Arg.,tree,confirmed,248,NA,64.73,widespread,Not endemic,101,64,en_peligro,Endangered,,timber,yes,,,,,
Astronium balansae,,Astronium balansae,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Ateleia glazioveana,Fabaceae,Ateleia glazioveana Baill.,tree,confirmed,78,NA,98.31,near_endemic,Endemic,62,1,en_peligro,,,timber,yes,,,,,
Attalea guaranitica,,Attalea guaranitica,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Baccharis cylindrica,,Baccharis cylindrica,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Baccharis isabelae,,Baccharis isabelae,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Baccharis microcephala,,Baccharis microcephala,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Baccharis trimera,,Baccharis trimera,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,yes,iNat,1,,
Bactris glaucescens,,Bactris glaucescens,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Balfourodendron riedelianum,Rutaceae,Balfourodendron riedelianum (Engl.) Engl.,tree,confirmed,224,NA,84.74,widespread,Not endemic,159,18,en_peligro,,,timber,yes,yes,iNat,1,marfim,
Begonia fiebrigii,,Begonia fiebrigii,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Begonia halansea,,Begonia halansea,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Begonia obovatistipulata,,Begonia obovatistipulata,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Begonia subvillosa,,Begonia subvillosa,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Bulnesia sarmientoi,Zygophyllaceae,Bulnesia sarmientoi Lorentz ex Griseb.,shrub,probable occurrence in the AF,4,,,,,,,en_peligro,Indeterminada (maybe Vulnerable),,,,,,,,
Butia campylospatha,,Butia campylospatha,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Butia compicola,,Butia compicola,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Butia exertispadix,,Butia exertispadix,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Butia marmorii,,Butia marmorii,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Butia paraguayensis,Arecaceae,Butia paraguayensis (Barb.Rodr.) Bailey,shrub,confirmed,162,NA,40.52,widespread,Not endemic,32,56,amenazada,Endangered,,,,,,,,
Calophyllum brasiliense,Calophyllaceae,Calophyllum brasiliense Cambess.,tree,confirmed,2462,NA,25.34,widespread,Not endemic,509,1275,en_peligro,,,fodder | lipids | medicinal | ornamental | timber,yes,,,,,
Capsicum flexuosum,Solanaceae,Capsicum flexuosum Sendtn.,shrub,confirmed,277,NA,86.21,widespread,Endemic,179,21,en_peligro,,,,,,,,,
Cariniana estrellensis,Lecythidaceae,Cariniana estrellensis (Raddi) Kuntze,tree,confirmed,319,NA,49.86,widespread,Not endemic,154,113,en_peligro,,,timber,yes,,,,,
Cedrela angustifolia,Meliaceae,Cedrela angustifolia Sesse & Moc. ex DC.,tree,new to AF,16,NA,33.33,widespread,NA,3,4,en_peligro,Indeterminada,,timber,yes,,,,,
Cedrela fissilis,Meliaceae,Cedrela fissilis Vell.,tree,confirmed,449,NA,42.49,widespread,Not endemic,176,156,en_peligro,,,timber,yes,,,,,
Cochlospermum tetraporum,,Cochlospermum tetraporum,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Cordia trichotoma,Boraginaceae,Cordia trichotoma (Vell.) Arrab. ex Steud.,tree,confirmed,559,NA,43.57,widespread,Not endemic,223,192,en_peligro,Indeterminada (maybe LC),,timber,yes,yes,iNat,1,,
Cyathea delgadii,Cyatheaceae,Cyathea delgadii Sternb.,tree,confirmed,791,NA,50.97,widespread,Not endemic,291,316,en_peligro,,,,,,,,,
Cyclolepis genistoides,,Cyclolepis genistoides,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Dimorphandra mollis,Fabaceae,Dimorphandra mollis Benth.,tree,new to AF,320,NA,3.95,occasional,Not in the AF,7,243,en_peligro,,,medicinal,,,,,,
Discocactus heptacanthus,,Discocactus heptacanthus,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Equisetum giganteum,,Equisetum giganteum,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Erythrodes kuczynskii,,Erythrodes kuczynskii,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Escobedia grandiflora,,Escobedia grandiflora,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Eugenia puriflora,,Eugenia puriflora,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Euterpe edulis,Arecaceae,Euterpe edulis Mart.,tree,confirmed,142,NA,86.26,widespread,Not endemic,115,14,en_peligro,Endangered,,food,yes,,,,,
Fosterella rojasii,,Fosterella rojasii,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Frailea cataphracta,,Frailea cataphracta,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Frailea grahliana,,Frailea grahliana,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Gumnocalycium megatae,,Gumnocalycium megatae,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Gymnocalycium denudatum,,Gymnocalycium denudatum,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Gymnocalycium euryplerum,,Gymnocalycium euryplerum,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Gymnocalycium marsoneri,,Gymnocalycium marsoneri,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Gymnocalycium paediophilum,,Gymnocalycium paediophilum,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Gymnocalycium paraguayense,,Gymnocalycium paraguayense,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Gymnocalyctium anisitsii,,Gymnocalyctium anisitsii,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Hemionitis rufa,,Hemionitis rufa,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Herreria montevidensis,,Herreria montevidensis,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Hypericum connatum,,Hypericum connatum,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Jacaratia corumbensis,,Jacaratia corumbensis,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Jatropha dissecta,,Jatropha dissecta,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Malaxis parthonii,,Malaxis parthonii,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Maytenus ilicifolia,,Maytenus ilicifolia,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,yes,iNat,3,,
Mimosa barnebiana,,Mimosa barnebiana,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Myrcia gemniflora,,Myrcia gemniflora,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Myrocarpus peruiferum,,Myrocarpus peruiferum,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Myroxylon peruiferum,Fabaceae,Myroxylon peruiferum L.f.,tree,confirmed,158,NA,63.82,widespread,Not endemic,75,40,en_peligro,Vulnerable,,timber,yes,,,,,
Oncidium cebolleta,,Oncidium cebolleta,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Oncidium jonesianum,,Oncidium jonesianum,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Oncidium paranaense,,Oncidium paranaense,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Parodia nigrispina,,Parodia nigrispina,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,yes,iNat,1,,
Parodia ottonis,,Parodia ottonis,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Parodia shumanniana,,Parodia shumanniana,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Peltastes stemmadeniiflorus,,Peltastes stemmadeniiflorus,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Peperomia ciclophylla,,Peperomia ciclophylla,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Peperomia rotundifolia,,Peperomia rotundifolia,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Peperomia tetraphylla,,Peperomia tetraphylla,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Phymatidium delicatulum,,Phymatidium delicatulum,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Picrasma crenata,Simaroubaceae,Picrasma crenata (Vell.) Engl.,tree,confirmed,79,NA,85.33,widespread,Endemic,60,7,en_peligro,,,,,,,,,
Pilosocereus machrisii,,Pilosocereus machrisii,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Piper regnelli,,Piper regnelli,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Piriqueta ochroleuca,,Piriqueta ochroleuca,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Piriquete subsessilis,,Piriquete subsessilis,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Pleurothallis saundersiana,,Pleurothallis saundersiana,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Potamogeton striatus,,Potamogeton striatus,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Prosopis alba,,Prosopis alba,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,Actively decreasing in the Cordoba province,,,,,,,,
Prosopis nigra,,Prosopis nigra,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,Decreasing in the Cordoba province,,,,,,,,
Prunus douglasii,,Prunus douglasii,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Prunus ravenii,Rosaceae,Prunus ravenii Zardini & Basualdo,tree?,not in the BF.2020,6,NA,100.0,pure_endemic,NA,5,0,en_peligro,,,,,,,,,
Psidium cinereum,,Psidium cinereum,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Quillaja brasiliensis,,Quillaja brasiliensis,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Rauvolfia sellowii,Apocynaceae,Rauvolfia sellowii Mull.Arg.,tree,confirmed,163,NA,96.76,near_endemic,Endemic,142,3,en_peligro,,,,,,,,,
Rhodocalyx rotundifolius,,Rhodocalyx rotundifolius,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Simira sampaioana,Rubiaceae,Simira sampaioana (Standl.) Steyerm.,tree,confirmed,52,NA,94.81,near_endemic,Not endemic,41,4,en_peligro,,,,,,,,,
Sinningia amambayensis,,Sinningia amambayensis,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Sophronitis cernua,,Sophronitis cernua,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Stenorrhynchos argentinus,,Stenorrhynchos argentinus,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Stevia rebaudiana,,Stevia rebaudiana,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Tabebuia alba,,Tabebuia alba,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Tabebuia heptaphylla,,Tabebuia heptaphylla,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Tabebuia pulcherrima,,Tabebuia pulcherrima,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Tillandsia aeranthos,,Tillandsia aeranthos,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Tillandsia arhiza,,Tillandsia arhiza,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Tillandsia diaguitensis,,Tillandsia diaguitensis,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Tillandsia duratii,,Tillandsia duratii,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Tillandsia esseriana,,Tillandsia esseriana,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Trichilia stellato-tomentosa,,Trichilia stellato-tomentosa,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Trichipteris atrovirens,,Trichipteris atrovirens,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,Endangered,,,,,,,,
Trimezia martii,,Trimezia martii,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Trithrinax brasiliensis,Arecaceae,Trithrinax brasiliensis Mart.,tree,new to AF,16,NA,80.0,widespread,Not in the AF,7,1,en_peligro,,,,,,,,,
Turnera aurelli,,Turnera aurelli,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Turnera grandidentata,,Turnera grandidentata,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
Vanilla rojasiana,,Vanilla rojasiana,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Victoria cruziana,,Victoria cruziana,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Vrisea friburgensis,,Vrisea friburgensis,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Vrisea psittacina,,Vrisea psittacina,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Warningia eugeni,,Warningia eugeni,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Warrea warreana,,Warrea warreana,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Zeyheria tuberculosa,Bignoniaceae,Zeyheria tuberculosa (Vell.) Bureau ex Verl.,tree,confirmed,110,NA,52.08,widespread,Not endemic,39,37,en_peligro,,,timber,yes,,,,,
Zygopetalum maxillare,,Zygopetalum maxillare,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,,,,,
