id,observed_on,iconic_taxon,scientific_name,common_name,rank,place_guess,latitude,longitude
333867185,2026-01-07,Amphibia,Rhinella diptycha,Cururu Toad,species,"Ypa'U, 031417, Paraguay",-25.5639716667,-57.022225
269448718,2025-03-27,Plantae,Pityrogramma calomelanos,silver fern,species,"Escobar, Paraguarí, Paraguay",-25.60629,-57.038231
253785746,2024-11-29,Insecta,Cissia eous,,species,"Departamento de Paraguari, PY",-25.600845,-57.0803333333
253785126,2024-11-29,Insecta,Chromacris speciosa,Soldier Grasshopper,species,"Departamento de Paraguari, PY",-25.5987366667,-57.0804861667
253784760,2024-11-29,Arachnida,Alpaida rubellula,,species,"Departamento de Paraguari, PY",-25.5983883333,-57.0814445
253784072,2024-11-29,Insecta,Tetragonisca fiebrigi,Fiebrig's Stingless Bee,species,"Departamento de Paraguari, PY",-25.5982116667,-57.0810555
318483960,2024-06-28,Insecta,Eumorpha labruscae,Gaudy Sphinx,species,"090603 Mbokajaty, Paraguay",-25.6151324097,-57.071304893
322798535,2024-03-02,Insecta,Polistes canadensis,Neotropical Red Paper Wasp,species,"Gral. Aquino, 090602, Paraguay",-25.6038218868,-57.0641807267
322780830,2024-01-06,Insecta,Quesada gigas,Giant Cicada,species,"Gral. Aquino, 090602, Paraguay",-25.6033610955,-57.0638113109
318206939,2023-08-12,Fungi,Trametes sanguinea,Cinnabar Bracket,species,"Gral. Aquino, 090602, Paraguay",-25.6031126694,-57.0643171278
193724284,2022-02-19,Plantae,Ruellia angustiflora,,species,"Chololo 031416, Paraguay",-25.5713246561,-57.0606337637
193724289,2022-02-19,Insecta,Clarazella bimaculata,,species,"Chololo 031416, Paraguay",-25.571054241,-57.0618566509
193724281,2022-02-19,Plantae,Luehea divaricata,,species,"Chololo 031416, Paraguay",-25.5710272112,-57.0616954606
193724266,2022-02-19,Insecta,Zoniopoda tarsata,,species,"Chololo 031416, Paraguay",-25.5709229379,-57.0619462062
105727311,2021-12-26,Mammalia,Herpailurus yagouaroundi,Jaguarundi,species,"Gral. Aquino, Paraguay",-25.6094680148,-57.0626110201
318213151,2021-11-13,Insecta,Biblis hyperia,Southern Red Rim,species,"Gral. Aquino, 090602, Paraguay",-25.6043291,-57.0651399997
96907737,2021-10-02,Plantae,Allophylus edulis,cocum,species,Paraguay,-25.5851004858,-56.9952598487
318306018,2021-06-09,Mammalia,Cerdocyon thous,Crab-eating Fox,species,"Gral. Aquino, 090602, Paraguay",-25.6044696372,-57.0636304303
318305498,2021-06-09,Arachnida,Hogna gumia,,species,"Gral. Aquino, 090602, Paraguay",-25.6033130952,-57.0646694263
318304592,2021-06-07,Mammalia,Sylvilagus brasiliensis,Common Tapeti,species,"Gral. Aquino, 090602, Paraguay",-25.6048838333,-57.0634271358
318219358,2021-05-29,Insecta,Prionolopha serrata,,species,"Gral. Aquino, 090602, Paraguay",-25.6040755,-57.0635635
318213145,2021-05-01,Insecta,Catonephele numilia,Blue-frosted Banner,species,"Gral. Aquino, 090602, Paraguay",-25.6034077997,-57.0637824
318213144,2021-05-01,Insecta,Doxocopa kallina,,species,"Gral. Aquino, 090602, Paraguay",-25.6034083997,-57.0637844
318213142,2021-05-01,Insecta,Protambulyx strigilis,Streaked Sphinx,species,"Gral. Aquino, 090602, Paraguay",-25.6034077997,-57.0637824
318219366,2021-04-22,Insecta,Rhynchophorus palmarum,South American Palm Weevil,species,"Gral. Aquino, 090602, Paraguay",-25.6034198,-57.0638293
318252716,2021-04-17,Reptilia,Bothrops diporus,Painted Lancehead,species,"Gral. Aquino, 090602, Paraguay",-25.6038388997,-57.0634472997
318219392,2021-03-30,Arachnida,Trichonephila clavipes,Golden Silk Spider,species,"Gral. Aquino, 090602, Paraguay",-25.603617275,-57.0654721083
318213140,2021-03-29,Insecta,Manduca rustica,Rustic Sphinx,species,"Gral. Aquino, 090602, Paraguay",-25.6034302997,-57.0638714997
318213137,2021-03-26,Insecta,Catagramma pygas,Godart's numberwing,species,"Gral. Aquino, 090602, Paraguay",-25.6034298,-57.0638708
66108655,2020-12-04,Aves,Crotophaga ani,Smooth-billed Ani,species,"Departamento de Paraguari, PY",-25.6105258426,-57.0781524369
63903224,2020-10-31,Plantae,Lithraea molleoides,,species,Paraguay,-25.5826396105,-56.9995333771
18395783,2018-11-02,Plantae,Trichocentrum pumilum,,species,"Unnamed Road, Paraguay",-25.5856775318,-57.0483541489
18394532,2018-10-25,Plantae,Zygostates alleniana,,species,"Unnamed Road, Paraguay",-25.5850884568,-57.0478381589
18396731,2018-10-25,Plantae,Thaumatophyllum bipinnatifidum,Tree Philodendron,species,"Unnamed Road, Paraguay",-25.5868868197,-57.049609758
318219375,2018-10-22,Insecta,Enema pan,,species,"Gral. Aquino, 090602, Paraguay",-25.6033333333,-57.0638888889
318255596,2018-09-28,Insecta,Manduca incisa,,species,"Gral. Aquino, 090602, Paraguay",-25.6032177941,-57.0639462619
318235230,2018-09-21,Reptilia,Micrurus frontalis,Southern Coralsnake,species,"Gral. Aquino, 090602, Paraguay",-25.6108333333,-57.0644444444
318243308,2017-10-30,Insecta,Heraclides anchisiades,Ruby-spotted Swallowtail,species,"Gral. Aquino, 090602, Paraguay",-25.6031035266,-57.0637896682
318219384,2017-02-09,Arachnida,Araneus guttatus,,species,"Gral. Aquino, 090602, Paraguay",-25.6041793611,-57.0644340278
318186835,2015-11-16,Insecta,Castoraeschna januaria,,species,"Gral. Aquino, 090602, Paraguay",-25.6032839754,-57.0639501775
318190513,2012-11-22,Mammalia,Coendou spinosus,Orange-spined Hairy Dwarf Porcupine,species,"Gral. Aquino, 090602, Paraguay",-25.6039240572,-57.0633140382
318189608,2011-02-13,Reptilia,Philodryas olfersii,Lichtenstein's Green Racer,species,"Gral. Aquino, 090602, Paraguay",-25.6032437497,-57.0639487997
318189196,2011-02-13,Reptilia,Stenocercus caducus,Brown Leaf Lizard,species,"Gral. Aquino, 090602, Paraguay",-25.6032689466,-57.0636124329
